Label (Grouping),"Census Tract 801, Suffolk County, Massachusetts!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Margin of Error","Census Tract 803, Suffolk County, Massachusetts!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 805, Suffolk County, Massachusetts!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Margin of Error","Census Tract 806.01, Suffolk County, Massachusetts!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 814, Suffolk County, Massachusetts!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Margin of Error","Census Tract 815, Suffolk County, Massachusetts!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Margin of Error","Census Tract 819, Suffolk County, Massachusetts!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Margin of Error","Census Tract 820, Suffolk County, Massachusetts!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Margin of Error","Census Tract 904, Suffolk County, Massachusetts!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1801.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1803.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1803.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1805, Suffolk County, Massachusetts!!Estimate","Census Tract 1805, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9801.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9803, Suffolk County, Massachusetts!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9815.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9815.02, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.02, Suffolk County, Massachusetts!!Margin of Error"
Total:,808,±113,974,±158,"1,260",±174,"1,268",±224,"1,421",±237,"1,576",±266,997,±187,"1,350",±250,"1,160",±253,"1,630",±294,"2,434",±309,"1,629",±211,"2,483",±258,39,±50,73,±56,0,±12,4,±5
    Less than 10 minutes,82,±50,33,±31,142,±93,57,±58,295,±138,77,±66,29,±25,89,±53,55,±47,21,±33,225,±126,141,±66,246,±134,14,±33,14,±31,0,±12,0,±12
    10 to 14 minutes,169,±55,67,±38,80,±48,102,±80,155,±72,89,±57,77,±40,77,±65,234,±119,211,±122,141,±139,100,±42,240,±89,14,±31,0,±12,0,±12,0,±12
    15 to 19 minutes,117,±55,172,±73,304,±121,292,±162,244,±81,122,±68,186,±95,78,±50,93,±75,321,±149,299,±219,139,±81,128,±74,0,±12,17,±29,0,±12,0,±12
    20 to 24 minutes,131,±68,110,±46,263,±95,310,±111,140,±78,405,±119,130,±59,133,±65,157,±113,167,±122,352,±128,216,±75,196,±90,0,±12,6,±15,0,±12,0,±12
    25 to 29 minutes,6,±9,9,±13,49,±33,0,±12,106,±54,75,±59,54,±32,62,±45,22,±26,0,±12,42,±55,41,±27,103,±56,0,±12,0,±12,0,±12,0,±12
    30 to 34 minutes,155,±65,239,±78,168,±74,133,±87,151,±81,411,±154,233,±81,412,±161,197,±112,376,±256,515,±199,426,±154,566,±139,4,±11,18,±31,0,±12,0,±12
    35 to 44 minutes,22,±25,84,±53,34,±42,105,±60,158,±73,147,±75,63,±41,112,±69,144,±90,26,±36,336,±218,181,±87,320,±116,0,±12,0,±12,0,±12,0,±12
    45 to 59 minutes,32,±28,116,±72,166,±76,63,±50,95,±54,139,±56,86,±39,148,±94,176,±83,167,±92,226,±110,236,±76,375,±137,5,±11,0,±12,0,±12,0,±12
    60 or more minutes,94,±49,144,±83,54,±43,206,±86,77,±52,111,±58,139,±74,239,±138,82,±68,341,±155,298,±139,149,±86,309,±125,2,±5,18,±32,0,±12,4,±5
"    Car, truck, or van:",352,±83,359,±76,380,±115,609,±191,360,±107,609,±157,592,±143,435,±128,735,±215,919,±309,"1,742",±348,"1,050",±194,"2,049",±238,17,±32,24,±41,0,±12,0,±12
        Less than 10 minutes,47,±37,7,±12,40,±45,18,±27,40,±33,69,±64,29,±25,72,±43,25,±28,21,±33,141,±90,131,±68,197,±124,0,±12,0,±12,0,±12,0,±12
        10 to 14 minutes,68,±37,54,±38,13,±20,76,±68,45,±36,57,±48,64,±39,0,±12,234,±119,128,±100,106,±131,92,±40,202,±85,13,±31,0,±12,0,±12,0,±12
