Label (Grouping),"Census Tract 901, Suffolk County, Massachusetts!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Margin of Error","Census Tract 902, Suffolk County, Massachusetts!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Margin of Error","Census Tract 907, Suffolk County, Massachusetts!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Margin of Error","Census Tract 909.01, Suffolk County, Massachusetts!!Estimate","Census Tract 909.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 910.01, Suffolk County, Massachusetts!!Estimate","Census Tract 910.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 911, Suffolk County, Massachusetts!!Estimate","Census Tract 911, Suffolk County, Massachusetts!!Margin of Error","Census Tract 912, Suffolk County, Massachusetts!!Estimate","Census Tract 912, Suffolk County, Massachusetts!!Margin of Error","Census Tract 913, Suffolk County, Massachusetts!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Margin of Error","Census Tract 914, Suffolk County, Massachusetts!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Margin of Error","Census Tract 915, Suffolk County, Massachusetts!!Estimate","Census Tract 915, Suffolk County, Massachusetts!!Margin of Error","Census Tract 916, Suffolk County, Massachusetts!!Estimate","Census Tract 916, Suffolk County, Massachusetts!!Margin of Error","Census Tract 917, Suffolk County, Massachusetts!!Estimate","Census Tract 917, Suffolk County, Massachusetts!!Margin of Error","Census Tract 918, Suffolk County, Massachusetts!!Estimate","Census Tract 918, Suffolk County, Massachusetts!!Margin of Error","Census Tract 919, Suffolk County, Massachusetts!!Estimate","Census Tract 919, Suffolk County, Massachusetts!!Margin of Error","Census Tract 920, Suffolk County, Massachusetts!!Estimate","Census Tract 920, Suffolk County, Massachusetts!!Margin of Error","Census Tract 921.01, Suffolk County, Massachusetts!!Estimate","Census Tract 921.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 922, Suffolk County, Massachusetts!!Estimate","Census Tract 922, Suffolk County, Massachusetts!!Margin of Error","Census Tract 923, Suffolk County, Massachusetts!!Estimate","Census Tract 923, Suffolk County, Massachusetts!!Margin of Error","Census Tract 924, Suffolk County, Massachusetts!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1001, Suffolk County, Massachusetts!!Estimate","Census Tract 1001, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1002, Suffolk County, Massachusetts!!Estimate","Census Tract 1002, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1003, Suffolk County, Massachusetts!!Estimate","Census Tract 1003, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1005, Suffolk County, Massachusetts!!Estimate","Census Tract 1005, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1006.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1006.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1007, Suffolk County, Massachusetts!!Estimate","Census Tract 1007, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1008, Suffolk County, Massachusetts!!Estimate","Census Tract 1008, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9901.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9901.01, Suffolk County, Massachusetts!!Margin of Error"
Total:,"1,758",±282,695,±168,"2,032",±271,"1,440",±249,"1,485",±209,"2,494",±360,"1,539",±254,686,±175,889,±208,"1,816",±249,"1,206",±262,"1,288",±249,"1,590",±300,"1,395",±284,"2,035",±337,"3,456",±484,"1,300",±219,"1,367",±289,"2,103",±276,"2,005",±374,"1,132",±207,"1,233",±283,"2,370",±425,"2,664",±454,971,±174,"2,161",±255,"2,973",±366,0,±95
    Less than 10 minutes,70,±53,0,±95,160,±84,68,±57,63,±40,64,±73,81,±52,40,±43,37,±41,167,±97,37,±41,54,±52,32,±41,53,±53,104,±73,167,±87,65,±52,23,±26,13,±22,109,±72,8,±14,49,±57,187,±162,30,±35,158,±109,184,±103,305,±134,0,±95
    10 to 14 minutes,118,±77,55,±46,197,±92,167,±104,71,±44,262,±115,238,±124,105,±71,71,±48,127,±72,50,±52,74,±49,71,±66,54,±40,139,±86,286,±173,69,±58,83,±74,270,±166,235,±128,64,±57,84,±60,220,±121,313,±114,163,±91,322,±130,318,±158,0,±95
    15 to 19 minutes,161,±93,171,±84,250,±111,160,±75,113,±75,250,±127,227,±112,56,±35,93,±54,260,±106,85,±55,49,±47,55,±39,79,±60,224,±101,242,±118,143,±82,119,±85,162,±89,212,±104,75,±62,221,±80,185,±150,96,±80,111,±63,219,±83,381,±156,0,±95
    20 to 24 minutes,374,±166,127,±82,260,±121,154,±81,300,±107,515,±197,126,±78,109,±61,131,±70,333,±106,149,±141,253,±85,155,±90,131,±70,304,±109,454,±197,113,±60,319,±122,115,±74,184,±99,60,±42,212,±108,329,±193,381,±143,49,±42,299,±120,585,±256,0,±95
    25 to 29 minutes,105,±69,36,±36,133,±76,95,±67,117,±66,265,±123,176,±136,29,±37,37,±38,85,±70,220,±139,26,±37,198,±147,23,±32,84,±59,93,±59,24,±25,8,±12,129,±62,95,±70,87,±58,45,±52,236,±119,257,±125,52,±34,213,±105,254,±131,0,±95
    30 to 34 minutes,215,±95,121,±73,613,±206,430,±119,405,±143,654,±151,288,±92,192,±125,151,±111,260,±117,197,±88,345,±108,369,±171,372,±142,577,±186,896,±280,432,±165,297,±142,480,±210,454,±167,212,±102,104,±70,450,±192,468,±194,163,±101,290,±139,362,±144,0,±95
    35 to 44 minutes,50,±45,18,±21,74,±48,94,±58,199,±72,102,±72,112,±75,49,±37,154,±102,135,±101,110,±79,114,±71,136,±102,77,±52,184,±125,491,±217,75,±52,116,±89,25,±40,146,±100,168,±108,147,±110,102,±80,333,±159,93,±88,187,±146,201,±105,0,±95
    45 to 59 minutes,212,±87,46,±66,177,±89,198,±121,169,±87,231,±102,142,±107,26,±31,183,±58,223,±93,175,±85,256,±128,273,±162,282,±125,109,±66,469,±236,211,±87,191,±93,301,±145,174,±112,191,±72,119,±88,405,±160,303,±168,145,±78,296,±83,295,±141,0,±95
    60 or more minutes,453,±190,121,±73,168,±94,74,±47,48,±35,151,±95,149,±85,80,±61,32,±38,226,±107,183,±94,117,±83,301,±123,324,±154,310,±133,358,±200,168,±71,211,±100,608,±178,396,±261,267,±127,252,±115,256,±116,483,±226,37,±40,151,±87,272,±142,0,±95
"    Car, truck, or van:",880,±226,386,±103,993,±190,597,±132,927,±156,"1,309",±281,953,±236,346,±108,449,±137,"1,086",±208,632,±179,559,±146,"1,044",±261,730,±209,940,±220,"2,002",±431,749,±180,735,±285,"1,236",±264,937,±227,606,±149,823,±253,"1,291",±292,"1,628",±363,794,±136,"1,695",±261,"1,996",±345,0,±95
        Less than 10 minutes,59,±49,0,±95,113,±70,19,±27,29,±28,56,±71,74,±57,0,±95,9,±14,117,±88,6,±15,40,±47,32,±41,53,±53,94,±67,54,±68,44,±45,14,±23,13,±22,83,±62,8,±14,49,±57,162,±162,30,±35,158,±109,163,±101,176,±113,0,±95
        10 to 14 minutes,118,±77,55,±46,172,±90,86,±57,51,±39,203,±93,218,±119,62,±56,54,±42,127,±72,26,±30,28,±34,59,±63,24,±28,106,±74,253,±161,13,±15,83,±74,270,±166,184,±120,64,±57,73,±56,95,±67,291,±109,139,±81,262,±124,250,±125,0,±95
        15 to 19 minutes,127,±80,141,±58,122,±61,90,±56,67,±58,217,±120,210,±106,53,±36,60,±46,178,±85,73,±52,32,±38,55,±39,79,±60,109,±67,172,±92,110,±66,94,±75,133,±76,169,±82,41,±45,202,±75,138,±132,96,±80,111,±63,219,±83,361,±152,0,±95
        20 to 24 minutes,251,±111,60,±46,156,±84,92,±47,220,±85,282,±111,67,±48,109,±61,109,±60,206,±86,149,±141,179,±78,137,±68,77,±45,214,±102,240,±141,58,±45,206,±99,115,±74,161,±92,56,±44,212,±108,289,±188,253,±103,49,±42,259,±113,553,±251,0,±95
        25 to 29 minutes,48,±49,36,±36,64,±60,47,±63,74,±48,79,±84,168,±135,8,±16,27,±32,76,±67,86,±45,0,±95,182,±149,21,±31,46,±40,45,±53,17,±23,0,±95,129,±62,25,±41,71,±57,27,±41,161,±85,256,±125,52,±34,201,±101,118,±90,0,±95
        30 to 34 minutes,142,±79,54,±48,197,±96,128,±54,301,±131,309,±99,150,±78,58,±54,103,±91,147,±89,115,±70,110,±91,231,±124,247,±115,218,±99,603,±265,276,±108,165,±110,399,±213,158,±106,128,±80,69,±60,198,±113,322,±168,113,±83,290,±139,291,±142,0,±95
        35 to 44 minutes,9,±13,0,±95,37,±35,49,±37,97,±62,33,±36,2,±8,4,±9,5,±14,103,±94,60,±55,70,±58,104,±75,27,±35,57,±54,266,±130,75,±52,86,±81,25,±40,76,±66,121,±103,131,±107,26,±35,135,±74,71,±80,134,±137,74,±65,0,±95
        45 to 59 minutes,55,±44,0,±95,85,±60,50,±52,88,±66,81,±62,44,±35,15,±20,67,±45,81,±46,106,±60,35,±38,177,±136,106,±61,49,±42,216,±112,99,±63,87,±60,81,±86,28,±32,110,±69,36,±41,162,±98,200,±154,92,±63,130,±63,103,±91,0,±95
        60 or more minutes,71,±55,40,±32,47,±51,36,±35,0,±95,49,±38,20,±26,37,±38,15,±24,51,±40,11,±17,65,±43,67,±59,96,±66,47,±49,153,±107,57,±35,0,±95,71,±74,53,±47,7,±13,24,±28,60,±50,45,±48,9,±18,37,±41,70,±57,0,±95
        Drove alone:,689,±215,186,±68,869,±193,512,±119,809,±126,974,±291,715,±221,257,±88,298,±113,824,±194,592,±179,420,±140,849,±244,580,±176,655,±195,"1,476",±343,536,±167,611,±283,809,±188,826,±190,488,±139,661,±237,"1,181",±274,"1,485",±336,748,±133,"1,526",±254,"1,834",±342,0,±95
