Label (Grouping),"Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Margin of Error"
Total:,"2,026",±306,"2,767",±483,"2,614",±535,"1,991",±490,"2,285",±445,4,±7
    Less than 10 minutes,37,±35,35,±50,147,±119,71,±70,33,±36,4,±7
    10 to 14 minutes,74,±62,114,±92,161,±143,169,±108,43,±50,0,±13
    15 to 19 minutes,53,±45,297,±200,329,±223,155,±118,182,±132,0,±13
    20 to 24 minutes,274,±122,303,±139,252,±135,108,±75,279,±190,0,±13
    25 to 29 minutes,181,±92,160,±190,162,±134,82,±72,63,±58,0,±13
    30 to 34 minutes,171,±78,286,±215,330,±164,759,±274,592,±213,0,±13
    35 to 44 minutes,246,±105,285,±167,205,±164,137,±127,51,±48,0,±13
    45 to 59 minutes,470,±142,548,±245,396,±232,211,±119,247,±110,0,±13
    60 or more minutes,520,±262,739,±322,632,±216,299,±138,795,±279,0,±13
"    Car, truck, or van:","1,127",±217,"1,799",±408,"1,685",±521,"1,394",±399,"1,406",±342,4,±7
        Less than 10 minutes,37,±35,35,±50,147,±119,71,±70,10,±19,4,±7
        10 to 14 minutes,66,±63,91,±86,45,±72,149,±100,43,±50,0,±13
        15 to 19 minutes,53,±45,225,±165,266,±209,155,±118,182,±132,0,±13
        20 to 24 minutes,230,±104,303,±139,241,±135,108,±75,254,±180,0,±13
        25 to 29 minutes,163,±86,160,±190,136,±131,61,±64,63,±58,0,±13
        30 to 34 minutes,124,±62,220,±179,281,±149,465,±203,492,±196,0,±13
        35 to 44 minutes,121,±72,230,±151,110,±113,137,±127,30,±36,0,±13
        45 to 59 minutes,213,±100,321,±186,215,±143,169,±115,112,±85,0,±13
        60 or more minutes,120,±91,214,±194,244,±126,79,±69,220,±139,0,±13
        Drove alone:,871,±183,"1,586",±388,"1,408",±486,"1,273",±378,"1,111",±322,4,±7
            Less than 10 minutes,37,±35,35,±50,147,±119,44,±52,0,±19,4,±7
            10 to 14 minutes,66,±63,91,±86,0,±19,138,±99,43,±50,0,±13
            15 to 19 minutes,53,±45,205,±151,266,±209,123,±103,163,±119,0,±13
            20 to 24 minutes,149,±76,287,±133,223,±138,108,±75,164,±124,0,±13
            25 to 29 minutes,146,±85,160,±190,136,±131,34,±45,48,±53,0,±13
            30 to 34 minutes,105,±60,147,±159,172,±117,465,±203,454,±196,0,±13
            35 to 44 minutes,99,±62,173,±141,77,±94,114,±119,17,±27,0,±13
            45 to 59 minutes,136,±78,298,±177,176,±132,169,±115,72,±58,0,±13
            60 or more minutes,80,±79,190,±192,211,±114,78,±70,150,±96,0,±13
        Carpooled:,256,±119,213,±182,277,±201,121,±75,295,±143,0,±13
            Less than 10 minutes,0,±13,0,±19,0,±19,27,±42,10,±19,0,±13
            10 to 14 minutes,0,±13,0,±19,45,±72,11,±18,0,±19,0,±13
            15 to 19 minutes,0,±13,20,±38,0,±19,32,±52,19,±28,0,±13
            20 to 24 minutes,81,±79,16,±31,18,±35,0,±13,90,±74,0,±13
            25 to 29 minutes,17,±25,0,±19,0,±19,27,±44,15,±24,0,±13
            30 to 34 minutes,19,±30,73,±95,109,±127,0,±13,38,±37,0,±13
            35 to 44 minutes,22,±27,57,±93,33,±55,23,±39,13,±21,0,±13
            45 to 59 minutes,77,±68,23,±40,39,±64,0,±13,40,±64,0,±13
            60 or more minutes,40,±42,24,±39,33,±53,1,±18,70,±98,0,±13
            In 2-person carpool:,139,±75,146,±143,161,±131,94,±81,211,±135,0,±13
                Less than 10 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
                10 to 14 minutes,0,±13,0,±19,45,±72,11,±18,0,±19,0,±13
                15 to 19 minutes,0,±13,0,±19,0,±19,32,±52,0,±19,0,±13
                20 to 24 minutes,35,±33,16,±31,0,±19,0,±13,50,±52,0,±13
                25 to 29 minutes,17,±25,0,±19,0,±19,27,±44,0,±19,0,±13
                30 to 34 minutes,0,±13,73,±95,50,±57,0,±13,38,±37,0,±13
                35 to 44 minutes,22,±27,57,±93,33,±55,23,±39,13,±21,0,±13
