Label (Grouping),"Census Tract 801, Suffolk County, Massachusetts!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Margin of Error","Census Tract 803, Suffolk County, Massachusetts!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 805, Suffolk County, Massachusetts!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Margin of Error","Census Tract 806.01, Suffolk County, Massachusetts!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 813.01, Suffolk County, Massachusetts!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 813.02, Suffolk County, Massachusetts!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 814, Suffolk County, Massachusetts!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Margin of Error","Census Tract 815, Suffolk County, Massachusetts!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Margin of Error","Census Tract 819, Suffolk County, Massachusetts!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Margin of Error","Census Tract 820, Suffolk County, Massachusetts!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Margin of Error","Census Tract 904, Suffolk County, Massachusetts!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1801.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1803.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1803.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1805, Suffolk County, Massachusetts!!Estimate","Census Tract 1805, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9801.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9803, Suffolk County, Massachusetts!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9813, Suffolk County, Massachusetts!!Estimate","Census Tract 9813, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9815.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9815.02, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9819, Suffolk County, Massachusetts!!Estimate","Census Tract 9819, Suffolk County, Massachusetts!!Margin of Error"
Total:,735,±204,955,±270,"1,107",±294,"1,279",±316,"1,391",±429,818,±290,935,±357,"1,718",±337,"1,125",±209,"1,831",±706,"1,586",±455,"1,711",±358,"2,543",±395,"1,200",±186,"2,019",±251,79,±77,33,±33,4,±6,0,±13,0,±13,0,±13
    Less than 10 minutes,70,±46,73,±90,62,±54,128,±76,278,±192,19,±24,46,±42,43,±37,39,±35,23,±34,27,±39,226,±134,131,±105,218,±95,146,±89,2,±4,0,±13,0,±13,0,±13,0,±13,0,±13
    10 to 14 minutes,63,±39,17,±19,75,±56,173,±125,174,±72,106,±135,21,±36,142,±77,84,±93,38,±57,136,±128,82,±69,150,±112,65,±42,117,±71,2,±4,0,±13,0,±13,0,±13,0,±13,0,±13
    15 to 19 minutes,92,±74,170,±76,227,±151,79,±63,133,±78,129,±125,25,±40,226,±88,177,±76,199,±156,202,±117,36,±32,371,±160,91,±52,84,±55,47,±87,10,±24,0,±13,0,±13,0,±13,0,±13
    20 to 24 minutes,120,±71,60,±45,141,±99,104,±69,122,±65,201,±187,0,±13,205,±106,154,±67,238,±169,131,±150,228,±124,196,±131,197,±120,253,±111,14,±32,0,±13,4,±6,0,±13,0,±13,0,±13
    25 to 29 minutes,27,±26,17,±31,36,±35,122,±71,140,±89,41,±67,51,±78,121,±60,53,±31,36,±40,0,±13,83,±50,140,±107,125,±60,138,±84,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
    30 to 34 minutes,192,±106,388,±177,270,±141,187,±95,330,±149,226,±130,314,±253,557,±186,222,±92,353,±155,231,±123,363,±164,368,±170,150,±78,398,±125,14,±32,0,±13,0,±13,0,±13,0,±13,0,±13
    35 to 44 minutes,28,±27,58,±74,92,±65,260,±208,79,±52,54,±51,175,±147,180,±103,144,±66,88,±82,250,±142,149,±120,249,±140,49,±39,208,±89,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
    45 to 59 minutes,84,±69,53,±52,74,±49,93,±83,77,±55,24,±33,86,±110,133,±55,166,±98,356,±165,410,±156,131,±80,344,±175,205,±98,391,±118,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
    60 or more minutes,59,±60,119,±123,130,±83,133,±81,58,±44,18,±21,217,±169,111,±75,86,±59,500,±480,199,±130,413,±165,594,±263,100,±66,284,±119,0,±13,23,±40,0,±13,0,±13,0,±13,0,±13
