Label (Grouping),"Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Margin of Error"
Total:,"2,290",±300,"3,271",±731,"2,402",±311,"1,661",±252,"2,086",±253,118,±58
    Less than 10 minutes,75,±48,103,±114,0,±17,68,±56,30,±34,4,±7
    10 to 14 minutes,149,±84,196,±117,82,±71,70,±57,148,±86,0,±12
    15 to 19 minutes,241,±86,322,±200,202,±117,89,±53,126,±77,8,±9
    20 to 24 minutes,279,±112,420,±202,233,±108,191,±108,293,±98,20,±24
    25 to 29 minutes,130,±93,109,±94,249,±152,76,±54,159,±93,0,±12
    30 to 34 minutes,472,±170,581,±279,154,±88,392,±143,492,±168,41,±26
    35 to 44 minutes,283,±104,132,±102,400,±223,63,±54,236,±93,17,±21
    45 to 59 minutes,231,±93,352,±199,429,±184,242,±101,186,±86,23,±25
    60 or more minutes,430,±152,"1,056",±368,653,±196,470,±145,416,±129,5,±7
"    Car, truck, or van:","1,516",±243,"2,016",±606,"1,359",±269,879,±185,"1,237",±204,92,±58
        Less than 10 minutes,75,±48,83,±109,0,±17,48,±49,26,±32,4,±7
        10 to 14 minutes,117,±75,196,±117,82,±71,70,±57,111,±73,0,±12
        15 to 19 minutes,241,±86,272,±160,122,±97,89,±53,126,±77,8,±9
        20 to 24 minutes,246,±96,241,±137,209,±105,164,±107,277,±96,20,±24
        25 to 29 minutes,101,±77,94,±91,204,±148,76,±54,144,±88,0,±12
        30 to 34 minutes,390,±170,448,±247,87,±74,276,±113,259,±108,41,±26
        35 to 44 minutes,182,±81,97,±95,307,±182,20,±25,109,±61,4,±7
        45 to 59 minutes,85,±64,275,±188,177,±117,75,±48,81,±61,15,±23
        60 or more minutes,79,±57,310,±229,171,±95,61,±50,104,±83,0,±12
        Drove alone:,"1,315",±230,"1,449",±429,"1,131",±268,693,±184,"1,120",±199,82,±57
            Less than 10 minutes,75,±48,83,±109,0,±17,48,±49,26,±32,4,±7
            10 to 14 minutes,89,±61,163,±102,66,±66,70,±57,103,±73,0,±12
            15 to 19 minutes,206,±85,195,±127,122,±97,66,±43,126,±77,8,±9
            20 to 24 minutes,196,±81,181,±112,165,±105,164,±107,260,±96,10,±17
            25 to 29 minutes,101,±77,94,±91,153,±145,53,±43,126,±85,0,±12
            30 to 34 minutes,320,±142,342,±217,87,±74,199,±100,211,±85,41,±26
            35 to 44 minutes,182,±81,63,±83,251,±173,9,±16,97,±60,4,±7
            45 to 59 minutes,76,±58,260,±182,177,±117,34,±36,81,±61,15,±23
            60 or more minutes,70,±56,68,±79,110,±82,50,±47,90,±80,0,±12
        Carpooled:,201,±98,567,±313,228,±123,186,±92,117,±74,10,±17
            Less than 10 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            10 to 14 minutes,28,±33,33,±54,16,±29,0,±12,8,±12,0,±12
            15 to 19 minutes,35,±40,77,±98,0,±17,23,±31,0,±17,0,±12
            20 to 24 minutes,50,±51,60,±62,44,±49,0,±12,17,±20,10,±17
            25 to 29 minutes,0,±12,0,±17,51,±53,23,±34,18,±28,0,±12
            30 to 34 minutes,70,±84,106,±99,0,±17,77,±59,48,±58,0,±12
            35 to 44 minutes,0,±12,34,±54,56,±65,11,±19,12,±18,0,±12
            45 to 59 minutes,9,±18,15,±30,0,±17,41,±33,0,±17,0,±12
            60 or more minutes,9,±13,242,±213,61,±62,11,±17,14,±19,0,±12
            In 2-person carpool:,192,±97,552,±307,177,±99,104,±76,110,±72,10,±17
                Less than 10 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
                10 to 14 minutes,28,±33,33,±54,16,±29,0,±12,8,±12,0,±12
                15 to 19 minutes,35,±40,77,±98,0,±17,15,±26,0,±17,0,±12
                20 to 24 minutes,50,±51,60,±62,19,±31,0,±12,17,±20,10,±17
                25 to 29 minutes,0,±12,0,±17,36,±56,0,±12,18,±28,0,±12
                30 to 34 minutes,70,±84,106,±99,0,±17,50,±60,48,±58,0,±12
                35 to 44 minutes,0,±12,34,±54,56,±65,0,±12,12,±18,0,±12
                45 to 59 minutes,0,±12,0,±17,0,±17,28,±25,0,±17,0,±12
                60 or more minutes,9,±13,242,±213,50,±48,11,±17,7,±12,0,±12
            In 3-or-more-person carpool:,9,±18,15,±30,51,±58,82,±60,7,±15,0,±12
                Less than 10 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
                10 to 14 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
                15 to 19 minutes,0,±12,0,±17,0,±17,8,±13,0,±17,0,±12
                20 to 24 minutes,0,±12,0,±17,25,±37,0,±12,0,±17,0,±12
                25 to 29 minutes,0,±12,0,±17,15,±25,23,±34,0,±17,0,±12
                30 to 34 minutes,0,±12,0,±17,0,±17,27,±40,0,±17,0,±12
                35 to 44 minutes,0,±12,0,±17,0,±17,11,±19,0,±17,0,±12
