"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","67,387","±2,568","17,602","±1,818","1,727","±712","21,868","±2,328"
"AGE","","","","","","","",""
"    16 to 19 years","3.6%","±1.0","0.9%","±0.8","12.0%","±10.7","2.2%","±1.4"
"    20 to 24 years","13.8%","±2.4","9.7%","±3.5","3.9%","±4.6","16.9%","±5.9"
"    25 to 44 years","57.0%","±3.4","56.6%","±5.6","67.3%","±17.3","63.5%","±6.5"
"    45 to 54 years","10.1%","±1.9","12.2%","±3.6","8.9%","±8.2","7.0%","±3.0"
"    55 to 59 years","5.3%","±1.2","7.8%","±2.8","0.0%","±9.1","3.1%","±1.2"
"    60 years and over","10.2%","±1.8","12.9%","±3.5","7.9%","±8.7","7.2%","±2.4"
"Median age (years)","32.6","±0.9","36.3","±2.7","33.4","±6.1","30.9","±1.0"
"SEX","","","","","","","",""
"    Male","51.4%","±2.7","53.1%","±5.5","43.1%","±13.3","47.7%","±5.5"
"    Female","48.6%","±2.7","46.9%","±5.5","56.9%","±13.3","52.3%","±5.5"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","73.7%","±3.3","85.3%","±3.8","81.1%","±12.8","69.3%","±6.0"
"        Black or African American","6.4%","±2.0","4.1%","±2.0","0.0%","±9.1","10.2%","±4.4"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"        Asian","14.9%","±2.3","9.2%","±3.4","15.9%","±12.3","16.2%","±3.6"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","N","N","N","N","N","N","N","N"
"    Two or more races","2.9%","±0.9","0.9%","±1.0","1.2%","±2.6","2.9%","±1.8"
"Hispanic or Latino origin (of any race)","8.1%","±1.7","5.9%","±2.8","5.2%","±5.6","8.2%","±2.9"
"White alone, not Hispanic or Latino","68.8%","±3.5","80.1%","±4.1","77.7%","±12.5","64.7%","±6.4"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","74.5%","±2.9","79.1%","±4.7","80.5%","±11.6","74.5%","±5.5"
"    Foreign born","25.5%","±2.9","20.9%","±4.7","19.5%","±11.6","25.5%","±5.5"
"        Naturalized U.S. citizen","9.3%","±2.0","10.2%","±2.8","8.8%","±8.2","7.8%","±2.7"
"        Not a U.S. citizen","16.2%","±2.8","10.7%","±4.4","10.7%","±11.5","17.7%","±5.2"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","29.9%","±3.2","21.3%","±5.4","39.3%","±20.1","32.4%","±5.4"
"        Speak English ""very well""","26.0%","±2.9","19.1%","±5.2","36.6%","±20.9","29.0%","±5.2"
"        Speak English less than ""very well""","3.9%","±1.1","2.2%","±1.6","2.7%","±5.2","3.5%","±1.7"
"EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","67,387","±2,568","17,602","±1,818","1,727","±712","21,868","±2,328"
"        $1 to $9,999 or loss","12.0%","±2.1","6.3%","±2.1","18.3%","±11.4","7.9%","±2.4"
"        $10,000 to $14,999","4.7%","±1.1","2.7%","±1.8","9.1%","±9.0","5.4%","±2.3"
"        $15,000 to $24,999","7.1%","±1.7","6.6%","±2.9","8.0%","±11.3","7.7%","±3.0"
"        $25,000 to $34,999","10.6%","±1.9","7.3%","±2.7","7.9%","±7.9","8.2%","±3.3"
"        $35,000 to $49,999","12.8%","±2.3","9.4%","±3.1","5.4%","±5.1","16.4%","±4.0"
"        $50,000 to $64,999","14.5%","±2.3","17.4%","±4.6","8.4%","±8.0","17.3%","±4.3"
"        $65,000 to $74,999","6.5%","±1.4","7.7%","±2.9","12.3%","±12.4","7.0%","±2.5"
"        $75,000 or more","31.8%","±2.9","42.6%","±4.9","30.5%","±15.1","30.2%","±5.0"
"Median earnings (dollars)","51,927","±3,842","65,233","±6,247","50,986","±27,376","52,802","±5,744"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","59,935","±2,891","16,964","±1,835","1,556","±697","20,930","±2,294"
"        Below 100 percent of the poverty level","5.4%","±1.6","2.5%","±2.0","4.3%","±7.2","6.5%","±2.6"
"        100 to 149 percent of the poverty level","2.2%","±1.2","2.4%","±1.9","0.0%","±10.1","2.4%","±2.2"
"        At or above 150 percent of the poverty level","92.4%","±2.2","95.1%","±2.8","95.7%","±7.2","91.1%","±3.8"
"Workers 16 years and over","67,387","±2,568","17,602","±1,818","1,727","±712","21,868","±2,328"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","75.7%","±2.8","78.0%","±4.1","72.8%","±21.8","75.2%","±5.2"
"        Service occupations","7.5%","±1.6","5.1%","±2.2","24.3%","±22.5","8.1%","±3.5"
"        Sales and office occupations","11.9%","±2.1","10.8%","±3.0","2.8%","±4.8","12.2%","±4.0"
"        Natural resources, construction, and maintenance occupations","1.3%","±0.6","1.9%","±1.2","0.0%","±9.1","1.7%","±1.5"
"        Production, transportation, and material moving occupations","3.5%","±1.3","4.2%","±2.1","0.0%","±9.1","2.6%","±1.6"
"        Military specific occupations","0.1%","±0.2","0.0%","±0.9","0.0%","±9.1","0.4%","±0.6"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","0.1%","±0.1","0.3%","±0.4","0.0%","±9.1","0.0%","±0.8"
"    Construction","1.5%","±0.6","1.9%","±1.1","0.0%","±9.1","2.1%","±1.5"
"    Manufacturing","6.5%","±1.3","13.2%","±4.0","5.7%","±7.0","5.5%","±2.0"
"    Wholesale trade","1.1%","±0.5","1.9%","±1.3","1.6%","±2.6","0.7%","±0.8"
"    Retail trade","4.3%","±1.3","4.0%","±2.0","0.0%","±9.1","4.3%","±2.6"
"    Transportation and warehousing, and utilities","1.8%","±0.9","3.6%","±2.2","0.0%","±9.1","0.7%","±0.8"
"    Information and finance and insurance, and real estate and rental and leasing","8.3%","±1.5","8.1%","±2.7","6.7%","±7.9","10.1%","±3.2"
"    Professional, scientific, management, and administrative and waste management services","23.1%","±2.7","23.7%","±4.4","19.3%","±12.8","25.0%","±4.5"
"    Educational services, and health care and social assistance","41.7%","±3.7","33.4%","±5.5","37.3%","±15.9","39.0%","±5.6"
"    Arts, entertainment, and recreation, and accommodation and food services","5.3%","±1.1","4.1%","±2.3","4.8%","±6.4","5.9%","±2.3"
"    Other services (except public administration)","3.0%","±1.1","2.7%","±1.5","24.6%","±22.1","1.9%","±1.5"
"    Public administration","2.9%","±0.9","3.2%","±1.6","0.0%","±9.1","4.5%","±1.8"
"    Armed forces","0.2%","±0.2","0.0%","±0.9","0.0%","±9.1","0.4%","±0.6"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","86.7%","±2.0","85.0%","±3.5","90.3%","±9.3","90.6%","±3.1"
"    Government workers","7.5%","±1.5","10.3%","±2.9","6.5%","±7.6","8.7%","±3.1"
"    Self-employed workers in own not incorporated business","5.8%","±1.3","4.7%","±2.0","3.2%","±5.2","0.7%","±0.6"
"    Unpaid family workers","0.0%","±0.2","0.0%","±0.9","0.0%","±9.1","0.0%","±0.8"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","98.7%","±0.6","97.8%","±1.5","100.0%","±9.1","99.1%","±0.7"
"        Worked in county of residence","64.9%","±2.4","69.0%","±5.0","55.8%","±20.8","35.3%","±5.1"
"        Worked outside county of residence","33.7%","±2.5","28.8%","±4.9","44.2%","±20.8","63.8%","±5.2"
"    Worked outside state of residence","1.3%","±0.6","2.2%","±1.5","0.0%","±9.1","0.9%","±0.7"
"Workers 16 years and over who did not work at home","61,599","±2,742","17,602","±1,818","1,727","±712","21,868","±2,328"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","0.6%","±0.4","0.7%","±0.6","0.0%","±9.1","0.7%","±0.9"
"        5:00 a.m. to 5:29 a.m.","0.4%","±0.4","0.3%","±0.5","3.0%","±5.1","0.3%","±0.5"
"        5:30 a.m. to 5:59 a.m.","0.9%","±0.6","1.3%","±1.1","0.0%","±9.1","1.0%","±1.2"
"        6:00 a.m. to 6:29 a.m.","2.0%","±0.8","3.9%","±1.9","0.0%","±9.1","1.9%","±1.2"
"        6:30 a.m. to 6:59 a.m.","4.5%","±1.1","6.7%","±2.0","1.8%","±3.2","5.4%","±2.2"
"        7:00 a.m. to 7:29 a.m.","10.7%","±2.0","16.5%","±4.6","13.8%","±9.3","10.2%","±2.7"
"        7:30 a.m. to 7:59 a.m.","10.3%","±1.8","12.0%","±3.1","19.2%","±15.0","11.2%","±3.2"
"        8:00 a.m. to 8:29 a.m.","22.5%","±2.9","24.1%","±4.5","0.0%","±9.1","31.2%","±5.4"
"        8:30 a.m. to 8:59 a.m.","14.5%","±1.7","11.4%","±2.6","8.2%","±7.7","15.7%","±3.3"
"        9:00 a.m. to 11:59 p.m.","33.5%","±2.6","23.1%","±4.2","53.9%","±19.6","22.4%","±4.0"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","8.1%","±1.5","2.9%","±1.4","7.5%","±9.6","0.7%","±0.7"
"    10 to 14 minutes","11.0%","±2.0","8.8%","±2.8","23.9%","±22.2","1.6%","±1.3"
"    15 to 19 minutes","14.4%","±2.3","11.2%","±3.1","23.2%","±16.0","6.3%","±2.5"
"    20 to 24 minutes","15.0%","±2.4","18.8%","±4.6","15.4%","±11.0","9.7%","±3.8"
"    25 to 29 minutes","6.5%","±1.3","8.7%","±2.3","0.0%","±9.1","6.5%","±1.8"
"    30 to 34 minutes","20.5%","±2.7","22.8%","±4.1","12.9%","±11.0","32.8%","±5.2"
"    35 to 44 minutes","11.3%","±1.9","12.7%","±3.4","2.6%","±4.5","20.1%","±4.1"
