"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","59,111","±2,733","16,508","±1,834","2,979","±1,108","17,502","±2,315"
"AGE","","","","","","","",""
"    16 to 19 years","1.8%","±0.9","1.1%","±0.9","3.9%","±4.9","0.0%","±1.0"
"    20 to 24 years","13.7%","±2.5","7.7%","±3.3","5.7%","±5.9","10.3%","±3.8"
"    25 to 44 years","56.3%","±2.9","52.0%","±5.2","37.0%","±14.0","69.8%","±5.4"
"    45 to 54 years","12.0%","±2.1","17.2%","±4.2","25.2%","±12.7","9.5%","±3.3"
"    55 to 59 years","5.7%","±1.5","7.7%","±3.3","2.5%","±3.0","5.8%","±3.0"
"    60 years and over","10.5%","±1.9","14.2%","±3.6","25.7%","±20.1","4.6%","±2.2"
"Median age (years)","33.3","±1.3","38.9","±2.8","48.0","±8.4","31.3","±2.0"
"SEX","","","","","","","",""
"    Male","49.7%","±2.9","48.2%","±5.0","31.9%","±12.2","49.8%","±5.7"
"    Female","50.3%","±2.9","51.8%","±5.0","68.1%","±12.2","50.2%","±5.7"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","69.2%","±3.9","80.8%","±5.2","57.9%","±18.2","62.7%","±7.0"
"        Black or African American","10.8%","±2.4","7.5%","±3.4","22.7%","±14.1","13.6%","±5.0"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"        Asian","15.7%","±3.4","8.4%","±4.1","19.4%","±15.8","21.1%","±6.5"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","N","N","N","N","N","N","N","N"
"    Two or more races","2.9%","±1.1","1.6%","±1.2","0.0%","±5.6","1.7%","±1.3"
"Hispanic or Latino origin (of any race)","5.0%","±1.3","6.0%","±3.5","0.0%","±5.6","4.7%","±2.2"
"White alone, not Hispanic or Latino","66.0%","±4.1","76.4%","±5.9","57.9%","±18.2","59.5%","±7.0"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","68.5%","±3.7","75.4%","±5.7","69.8%","±18.7","63.9%","±7.2"
"    Foreign born","31.5%","±3.7","24.6%","±5.7","30.2%","±18.7","36.1%","±7.2"
"        Naturalized U.S. citizen","13.1%","±2.6","13.1%","±4.6","21.1%","±18.3","14.9%","±4.6"
"        Not a U.S. citizen","18.3%","±3.0","11.5%","±3.9","9.1%","±8.8","21.2%","±6.4"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","33.2%","±3.8","27.5%","±5.6","39.4%","±19.9","37.7%","±7.3"
"        Speak English ""very well""","25.2%","±3.5","22.1%","±5.0","25.5%","±13.9","29.1%","±7.4"
"        Speak English less than ""very well""","7.9%","±1.5","5.4%","±2.3","14.0%","±11.3","8.5%","±3.1"
"EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","59,111","±2,733","16,508","±1,834","2,979","±1,108","17,502","±2,315"
"    $1 to $9,999 or loss","14.4%","±2.0","6.2%","±2.0","19.9%","±11.9","8.4%","±3.6"
"    $10,000 to $14,999","5.0%","±1.2","3.5%","±1.7","6.7%","±6.8","4.9%","±2.7"
"    $15,000 to $24,999","8.6%","±1.9","7.6%","±3.5","14.8%","±12.8","8.3%","±4.5"
"    $25,000 to $34,999","12.9%","±2.0","8.3%","±2.8","9.9%","±9.6","11.8%","±3.8"
"    $35,000 to $49,999","15.1%","±2.3","12.7%","±3.4","14.7%","±13.1","20.3%","±4.5"
