"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","69,962","±2,606","15,225","±1,822","1,964","±768","13,337","±1,742"
"    AGE","","","","","","","",""
"        16 to 19 years","2.4%","±0.7","1.7%","±1.6","7.6%","±7.9","1.0%","±1.0"
"        20 to 24 years","18.4%","±2.1","13.2%","±3.9","4.8%","±5.9","25.9%","±6.8"
"        25 to 44 years","53.3%","±3.3","49.0%","±8.0","37.4%","±17.7","55.1%","±7.3"
"        45 to 54 years","11.9%","±2.3","20.2%","±4.9","25.2%","±20.9","6.1%","±3.3"
"        55 to 59 years","3.5%","±1.3","3.8%","±2.0","3.2%","±3.8","3.2%","±2.8"
"        60 years and over","10.6%","±2.1","12.0%","±5.6","21.8%","±14.4","8.7%","±4.3"
"        Median age (years)","31.9","±1.3","37.1","±2.5","45.0","±9.9","28.6","±1.2"
"    SEX","","","","","","","",""
"        Male","51.7%","±2.7","51.9%","±6.0","45.5%","±13.5","35.0%","±6.3"
"        Female","48.3%","±2.7","48.1%","±6.0","54.5%","±13.5","65.0%","±6.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N"
"            White","58.8%","±3.7","62.3%","±8.3","54.3%","±19.7","55.3%","±7.3"
"            Black or African American","9.6%","±2.6","20.1%","±7.9","20.9%","±16.0","12.3%","±4.4"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"            Asian","20.7%","±2.6","9.9%","±4.4","13.6%","±14.3","16.6%","±4.6"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"            Some other race","N","N","N","N","N","N","N","N"
"        Two or more races","7.6%","±1.9","5.9%","±3.3","11.3%","±9.4","9.6%","±4.3"
"        Hispanic or Latino origin (of any race)","7.6%","±1.5","5.1%","±2.9","12.3%","±10.8","11.5%","±4.6"
"        White alone, not Hispanic or Latino","57.7%","±3.7","61.5%","±8.3","52.3%","±18.5","54.8%","±7.2"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","66.8%","±2.8","69.5%","±7.3","81.0%","±15.1","68.1%","±6.8"
"        Foreign born","33.2%","±2.8","30.5%","±7.3","19.0%","±15.1","31.9%","±6.8"
"            Naturalized U.S. citizen","12.9%","±1.8","20.6%","±7.0","7.0%","±6.7","8.9%","±4.0"
"            Not a U.S. citizen","20.3%","±2.6","10.0%","±4.9","12.0%","±14.0","23.0%","±6.0"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","34.4%","±2.9","33.5%","±8.2","28.9%","±16.0","31.1%","±7.1"
"            Speak English ""very well""","26.9%","±2.6","22.3%","±6.8","22.3%","±14.7","21.4%","±6.1"
"            Speak English less than ""very well""","7.5%","±1.8","11.2%","±6.2","6.6%","±7.7","9.7%","±4.2"
"EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","69,962","±2,606","15,225","±1,822","1,964","±768","13,337","±1,742"
"        $1 to $9,999 or loss","10.2%","±2.0","8.8%","±4.1","20.7%","±13.6","10.7%","±5.1"
"        $10,000 to $14,999","4.8%","±1.3","6.9%","±4.5","2.2%","±4.6","5.1%","±2.9"
"        $15,000 to $24,999","5.0%","±1.5","3.7%","±2.1","0.0%","±9.9","7.1%","±4.2"
"        $25,000 to $34,999","5.4%","±1.4","9.3%","±5.1","1.3%","±2.4","5.6%","±3.0"
"        $35,000 to $49,999","11.8%","±2.2","11.1%","±4.4","10.4%","±9.8","13.1%","±5.1"
"        $50,000 to $64,999","12.1%","±1.8","10.5%","±3.9","3.7%","±4.5","15.1%","±5.2"
"        $65,000 to $74,999","7.1%","±1.6","9.9%","±4.1","9.9%","±9.2","6.5%","±3.0"
"        $75,000 or more","43.5%","±3.3","39.9%","±8.0","51.8%","±16.8","36.9%","±6.2"
"        Median earnings (dollars)","65,862","±4,861","64,601","±11,773","76,989","±30,363","58,329","±6,265"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","62,991","±2,495","14,508","±1,843","1,775","±737","13,129","±1,708"
"        Below 100 percent of the poverty level","6.2%","±2.6","7.3%","±5.4","4.2%","±7.0","12.6%","±6.3"
"        100 to 149 percent of the poverty level","3.6%","±1.4","2.6%","±2.2","1.5%","±2.7","5.5%","±3.3"
"        At or above 150 percent of the poverty level","90.2%","±3.0","90.1%","±5.5","94.3%","±7.5","81.9%","±7.4"
"Workers 16 years and over","69,962","±2,606","15,225","±1,822","1,964","±768","13,337","±1,742"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","78.9%","±2.7","66.5%","±7.1","69.8%","±15.6","80.4%","±5.0"
"        Service occupations","7.0%","±1.7","13.7%","±5.5","19.8%","±13.4","5.7%","±4.0"
"        Sales and office occupations","8.7%","±1.6","6.1%","±2.8","8.2%","±7.9","9.4%","±3.1"
"        Natural resources, construction, and maintenance occupations","1.5%","±0.6","1.9%","±1.4","0.0%","±9.9","0.4%","±0.8"
"        Production, transportation, and material moving occupations","4.0%","±1.3","11.9%","±5.0","2.2%","±3.7","4.1%","±3.0"
"        Military specific occupations","0.0%","±0.3","0.0%","±1.3","0.0%","±9.9","0.0%","±1.5"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","0.6%","±0.5","0.0%","±1.3","0.0%","±9.9","0.6%","±0.9"
"        Construction","1.8%","±0.8","3.1%","±3.0","0.0%","±9.9","2.8%","±2.5"
"        Manufacturing","7.0%","±1.5","8.2%","±3.8","0.0%","±9.9","11.1%","±4.6"
"        Wholesale trade","1.1%","±0.6","1.4%","±1.9","0.0%","±9.9","0.0%","±1.5"
"        Retail trade","3.8%","±1.1","2.0%","±1.4","2.2%","±4.4","5.1%","±2.5"
"        Transportation and warehousing, and utilities","2.7%","±1.1","9.5%","±4.5","2.2%","±3.7","0.0%","±1.5"
"        Information and finance and insurance, and real estate and rental and leasing","7.9%","±1.5","5.7%","±2.3","8.1%","±8.2","6.7%","±2.4"
"        Professional, scientific, management, and administrative and waste management services","25.1%","±2.5","17.6%","±5.6","15.4%","±10.2","29.0%","±6.6"
"        Educational services, and health care and social assistance","40.8%","±2.6","43.0%","±7.0","47.0%","±17.3","35.7%","±6.4"
"        Arts, entertainment, and recreation, and accommodation and food services","3.4%","±0.9","5.1%","±2.9","8.8%","±9.1","2.8%","±2.1"
"        Other services (except public administration)","3.1%","±1.0","2.0%","±1.6","4.4%","±6.9","4.7%","±3.2"
"        Public administration","2.6%","±0.7","2.4%","±1.7","11.8%","±9.0","1.6%","±1.9"
"        Armed forces","0.1%","±0.2","0.0%","±1.3","0.0%","±9.9","0.0%","±1.5"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","86.5%","±2.4","80.4%","±5.3","67.0%","±16.6","93.0%","±3.3"
"        Government workers","10.1%","±2.1","17.3%","±5.4","28.4%","±17.0","6.2%","±3.2"
"        Self-employed workers in own not incorporated business","3.4%","±1.2","2.2%","±2.3","4.6%","±5.7","0.8%","±1.0"
"        Unpaid family workers","0.0%","±0.3","0.0%","±1.3","0.0%","±9.9","0.0%","±1.5"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","99.3%","±0.5","98.9%","±1.2","100.0%","±9.9","100.0%","±1.5"
"            Worked in county of residence","74.7%","±2.8","66.2%","±6.2","54.8%","±18.7","34.5%","±7.3"
"            Worked outside county of residence","24.6%","±2.7","32.7%","±6.0","45.2%","±18.7","65.5%","±7.3"
"        Worked outside state of residence","0.7%","±0.5","1.1%","±1.2","0.0%","±9.9","0.0%","±1.5"
"Workers 16 years and over who did not work from home","48,877","±2,894","15,225","±1,822","1,964","±768","13,337","±1,742"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","1.8%","±0.8","3.4%","±2.1","0.0%","±9.9","0.3%","±0.4"
"        5:00 a.m. to 5:29 a.m.","0.3%","±0.3","0.0%","±1.3","0.0%","±9.9","0.0%","±1.5"
"        5:30 a.m. to 5:59 a.m.","0.3%","±0.3","0.6%","±0.7","0.0%","±9.9","0.0%","±1.5"
"        6:00 a.m. to 6:29 a.m.","3.3%","±1.5","4.1%","±3.1","0.0%","±9.9","6.5%","±3.3"
"        6:30 a.m. to 6:59 a.m.","7.2%","±1.9","12.6%","±4.8","9.4%","±9.1","9.2%","±4.1"
"        7:00 a.m. to 7:29 a.m.","8.6%","±2.4","11.7%","±4.9","9.2%","±10.7","7.8%","±3.6"
"        7:30 a.m. to 7:59 a.m.","11.1%","±2.2","11.6%","±3.8","4.8%","±6.8","11.6%","±4.8"
"        8:00 a.m. to 8:29 a.m.","17.5%","±3.1","17.2%","±4.5","35.0%","±19.2","24.1%","±6.6"
"        8:30 a.m. to 8:59 a.m.","14.8%","±2.2","12.8%","±4.2","0.5%","±1.3","10.9%","±4.0"
"        9:00 a.m. to 11:59 p.m.","35.2%","±3.6","26.0%","±7.0","41.1%","±17.4","29.6%","±5.9"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","7.6%","±2.0","3.5%","±2.5","8.2%","±7.3","0.0%","±1.5"
"        10 to 14 minutes","14.5%","±2.8","10.9%","±4.1","15.2%","±11.1","1.0%","±0.9"
"        15 to 19 minutes","16.7%","±2.8","18.3%","±5.1","20.1%","±14.3","7.6%","±5.0"
"        20 to 24 minutes","14.8%","±2.8","17.9%","±5.9","19.3%","±11.0","8.0%","±3.0"
"        25 to 29 minutes","8.9%","±1.9","11.0%","±4.0","27.0%","±15.7","6.5%","±3.3"
"        30 to 34 minutes","17.0%","±2.3","21.6%","±4.7","6.4%","±7.6","28.7%","±5.2"
"        35 to 44 minutes","9.5%","±2.0","6.4%","±2.6","0.0%","±9.9","23.7%","±5.9"
"        45 to 59 minutes","7.1%","±1.5","6.6%","±2.4","3.8%","±5.1","15.2%","±4.7"
"        60 or more minutes","3.8%","±1.3","3.7%","±2.5","0.0%","±9.9","9.3%","±4.0"
"        Mean travel time to work (minutes)","24.3","±1.1","24.8","±1.5","19.2","±2.6","35.7","±2.3"
"Workers 16 years and over in households","62,965","±2,496","14,508","±1,843","1,775","±737","13,129","±1,708"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","33.8%","±3.4","40.3%","±8.8","46.4%","±21.4","17.2%","±4.8"
"        Renter-occupied housing units","66.2%","±3.4","59.7%","±8.8","53.6%","±21.4","82.8%","±4.8"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","26.4%","±3.2","1.4%","±1.3","2.6%","±4.5","48.4%","±7.1"
"        1 vehicle available","48.6%","±4.2","58.4%","±8.9","54.3%","±17.5","38.3%","±8.0"
"        2 vehicles available","20.3%","±3.4","29.2%","±7.8","40.1%","±16.5","12.8%","±6.1"
"        3 or more vehicles available","4.7%","±2.1","11.0%","±4.8","3.1%","±5.3","0.5%","±0.6"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","14.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
