"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","70,450","±3,625","13,004","±1,878","2,202","±1,012","8,520","±1,542"
"    AGE","","","","","","","",""
"        16 to 19 years","2.7%","±0.7","4.1%","±2.4","2.5%","±4.9","1.2%","±1.6"
"        20 to 24 years","17.2%","±2.8","12.5%","±5.3","9.3%","±11.0","13.2%","±5.4"
"        25 to 44 years","57.2%","±3.5","53.5%","±6.8","56.6%","±16.9","69.0%","±6.9"
"        45 to 54 years","8.4%","±1.9","8.9%","±3.8","10.9%","±12.1","5.0%","±2.9"
"        55 to 59 years","4.1%","±1.2","5.6%","±3.0","5.8%","±9.3","3.9%","±4.0"
"        60 years and over","10.4%","±2.1","15.3%","±4.5","15.0%","±10.0","7.7%","±4.7"
"        Median age (years)","32.1","±1.0","33.7","±1.7","36.6","±11.7","31.5","±1.6"
"    SEX","","","","","","","",""
"        Male","50.8%","±2.9","57.5%","±6.7","44.8%","±10.2","42.3%","±10.2"
"        Female","49.2%","±2.9","42.5%","±6.7","55.2%","±10.2","57.7%","±10.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N"
"            White","60.6%","±3.4","69.3%","±6.3","35.2%","±18.0","49.9%","±8.7"
"            Black or African American","6.1%","±1.8","7.5%","±3.7","1.8%","±3.1","9.8%","±5.6"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"            Asian","22.3%","±3.2","16.9%","±6.3","45.7%","±24.2","25.0%","±7.1"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"            Some other race","N","N","N","N","N","N","N","N"
"        Two or more races","9.2%","±1.5","4.4%","±2.5","11.6%","±13.1","13.8%","±5.0"
"        Hispanic or Latino origin (of any race)","6.7%","±1.7","4.7%","±2.8","11.0%","±11.7","9.7%","±4.3"
"        White alone, not Hispanic or Latino","59.3%","±3.5","67.9%","±6.4","35.2%","±18.0","49.9%","±8.7"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","67.8%","±2.9","73.8%","±6.7","46.8%","±21.7","63.3%","±8.5"
"        Foreign born","32.2%","±2.9","26.2%","±6.7","53.2%","±21.7","36.7%","±8.5"
