"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","56,075","±3,404","16,544","±2,459","2,502","±872","14,917","±2,204"
"AGE","","","","","","","",""
"    16 to 19 years","1.5%","±0.8","0.2%","±0.4","2.2%","±3.7","2.0%","±1.8"
"    20 to 24 years","12.2%","±2.1","11.4%","±4.5","6.9%","±6.5","7.5%","±3.5"
"    25 to 44 years","56.8%","±4.2","46.2%","±6.1","51.2%","±13.1","68.6%","±6.0"
"    45 to 54 years","14.5%","±2.6","20.3%","±5.6","22.0%","±12.9","12.4%","±4.2"
"    55 to 59 years","5.9%","±1.4","9.1%","±3.5","13.2%","±9.7","1.5%","±1.3"
"    60 years and over","9.1%","±2.0","12.8%","±3.8","4.5%","±5.4","8.0%","±4.6"
"Median age (years)","34.5","±1.1","41.2","±3.4","38.9","±9.9","32.8","±1.7"
"SEX","","","","","","","",""
"    Male","52.9%","±3.2","53.6%","±6.6","57.8%","±14.5","48.6%","±6.1"
"    Female","47.1%","±3.2","46.4%","±6.6","42.2%","±14.5","51.4%","±6.1"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","70.4%","±4.4","73.6%","±6.9","73.3%","±11.8","67.5%","±7.5"
"        Black or African American","9.2%","±3.2","14.9%","±6.0","0.0%","±7.2","10.8%","±6.0"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"        Asian","14.9%","±3.6","10.5%","±4.8","20.2%","±11.6","16.4%","±6.1"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","N","N","N","N","N","N","N","N"
"    Two or more races","N","N","N","N","N","N","N","N"
"Hispanic or Latino origin (of any race)","6.2%","±2.0","3.7%","±2.0","6.4%","±6.1","8.0%","±3.8"
"White alone, not Hispanic or Latino","66.8%","±4.6","71.0%","±7.0","70.8%","±12.3","62.7%","±7.3"
"CITIZENSHIP STATUS","","","","","","","",""
"    Native","69.6%","±4.1","75.0%","±6.3","63.9%","±12.7","69.2%","±6.5"
"    Foreign born","30.4%","±4.1","25.0%","±6.3","36.1%","±12.7","30.8%","±6.5"
"        Naturalized U.S. citizen","10.4%","±2.3","13.9%","±4.3","18.5%","±10.3","8.5%","±3.2"
"        Not a U.S. citizen","20.0%","±3.7","11.0%","±4.8","17.6%","±10.3","22.3%","±6.0"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","28.4%","±3.8","25.2%","±6.6","37.0%","±13.6","29.1%","±5.9"
"        Speak English ""very well""","22.9%","±3.5","18.6%","±6.5","30.5%","±13.3","21.8%","±5.0"
"        Speak English less than ""very well""","5.4%","±1.6","6.5%","±2.8","6.5%","±7.8","7.3%","±4.7"
"EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","56,075","±3,404","16,544","±2,459","2,502","±872","14,917","±2,204"
"    $1 to $9,999 or loss","13.3%","±3.0","9.9%","±4.1","4.6%","±5.1","8.1%","±3.7"
"    $10,000 to $14,999","4.3%","±1.6","3.5%","±2.5","0.0%","±7.2","2.8%","±2.0"
"    $15,000 to $24,999","9.4%","±2.2","7.7%","±3.3","11.8%","±8.3","8.5%","±4.8"
"    $25,000 to $34,999","11.4%","±2.3","6.8%","±3.4","4.6%","±5.3","11.8%","±4.4"
"    $35,000 to $49,999","15.8%","±2.7","14.8%","±5.0","19.1%","±11.5","16.9%","±5.3"
"    $50,000 to $64,999","12.8%","±2.0","14.2%","±3.4","17.7%","±11.4","14.2%","±4.9"
"    $65,000 to $74,999","6.0%","±1.7","7.0%","±3.2","8.4%","±7.2","7.9%","±3.4"
"    $75,000 or more","27.1%","±2.6","36.2%","±6.6","33.9%","±12.0","29.8%","±6.4"
"Median earnings (dollars)","45,686","±3,526","55,682","±6,927","54,552","±12,261","50,844","±3,241"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","53,246","±3,312","16,464","±2,436","2,433","±864","14,784","±2,206"
"    Below 100 percent of the poverty level","8.1%","±2.5","5.6%","±3.2","4.8%","±7.7","8.8%","±4.8"
"    100 to 149 percent of the poverty level","3.2%","±1.1","2.0%","±1.4","2.7%","±4.4","1.8%","±1.2"
"    At or above 150 percent of the poverty level","88.7%","±2.6","92.4%","±3.5","92.5%","±8.5","89.4%","±4.9"
"Workers 16 years and over","56,075","±3,404","16,544","±2,459","2,502","±872","14,917","±2,204"
"OCCUPATION","","","","","","","",""
"    Management, business, science, and arts occupations","72.7%","±3.8","69.2%","±5.4","72.9%","±13.0","73.3%","±7.3"
"    Service occupations","8.1%","±2.3","9.4%","±3.3","15.3%","±11.2","8.9%","±5.2"
"    Sales and office occupations","13.0%","±2.9","14.5%","±4.8","4.7%","±5.6","10.5%","±4.3"
"    Natural resources, construction, and maintenance occupations","1.1%","±0.7","0.8%","±0.9","0.0%","±7.2","0.8%","±0.6"
"    Production, transportation, and material moving occupations","3.9%","±1.3","6.2%","±3.6","7.1%","±8.2","2.4%","±1.4"
"    Military specific occupations","1.1%","±1.7","0.0%","±1.1","0.0%","±7.2","4.1%","±6.0"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","0.2%","±0.2","0.0%","±1.1","0.0%","±7.2","0.0%","±1.2"
"    Construction","0.8%","±0.6","2.2%","±1.8","0.0%","±7.2","0.0%","±1.2"
"    Manufacturing","4.1%","±1.3","5.8%","±2.9","11.3%","±8.8","5.2%","±2.7"
"    Wholesale trade","1.3%","±0.6","2.0%","±1.3","0.0%","±7.2","2.0%","±1.5"
"    Retail trade","4.5%","±1.4","3.7%","±2.4","2.9%","±4.8","6.1%","±3.0"
"    Transportation and warehousing, and utilities","1.8%","±1.0","2.2%","±1.9","0.0%","±7.2","0.8%","±0.9"
"    Information and finance and insurance, and real estate and rental and leasing","10.2%","±2.4","13.2%","±5.7","6.4%","±5.3","9.2%","±3.1"
"    Professional, scientific, management, and administrative and waste management services","22.4%","±3.0","19.0%","±4.8","13.9%","±10.6","25.8%","±5.8"
"    Educational services, and health care and social assistance","41.5%","±3.9","33.6%","±5.9","54.4%","±17.3","38.7%","±7.5"
"    Arts, entertainment, and recreation, and accommodation and food services","6.1%","±1.5","7.0%","±3.0","9.0%","±7.9","5.5%","±2.8"
"    Other services (except public administration)","2.4%","±1.1","5.7%","±3.3","0.0%","±7.2","0.8%","±1.0"
"    Public administration","3.5%","±1.2","5.6%","±3.4","2.1%","±3.6","1.7%","±1.7"
"    Armed forces","1.2%","±1.7","0.0%","±1.1","0.0%","±7.2","4.1%","±6.0"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","82.7%","±2.5","79.6%","±5.1","95.8%","±5.1","86.0%","±6.2"
