"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","64,728","±2,911","18,337","±1,809","1,417","±563","17,671","±2,043"
"AGE","","","","","","","",""
"    16 to 19 years","3.5%","±1.0","3.2%","±2.2","8.2%","±9.8","0.6%","±0.9"
"    20 to 24 years","14.9%","±2.6","8.7%","±3.6","8.4%","±9.5","10.0%","±3.7"
"    25 to 44 years","56.9%","±3.5","57.8%","±5.1","62.7%","±17.1","67.0%","±4.7"
"    45 to 54 years","9.6%","±2.0","9.5%","±3.1","0.0%","±12.1","8.6%","±3.1"
"    55 to 59 years","4.8%","±1.5","4.5%","±1.8","10.0%","±11.4","5.6%","±3.3"
"    60 years and over","10.2%","±2.1","16.3%","±4.7","10.7%","±7.9","8.2%","±3.6"
"Median age (years)","32.2","±0.8","35.6","±1.6","34.2","±8.3","32.4","±1.6"
"SEX","","","","","","","",""
"    Male","52.6%","±2.9","56.0%","±5.3","43.4%","±13.1","42.7%","±5.3"
"    Female","47.4%","±2.9","44.0%","±5.3","56.6%","±13.1","57.3%","±5.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","69.2%","±3.4","74.2%","±6.5","84.1%","±9.9","63.1%","±6.6"
"        Black or African American","9.0%","±2.4","12.1%","±5.9","4.4%","±7.0","10.8%","±4.8"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"        Asian","17.3%","±3.2","10.5%","±3.4","0.0%","±12.1","21.1%","±5.5"
