"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","59,968","±2,740","18,577","±2,002","2,097","±596","14,684","±1,630"
"AGE","","","","","","","",""
"    16 to 19 years","3.8%","±1.1","0.8%","±0.8","12.9%","±12.2","1.3%","±1.3"
"    20 to 24 years","15.2%","±2.7","7.7%","±3.3","8.4%","±7.3","14.1%","±5.2"
"    25 to 44 years","52.7%","±4.0","53.7%","±5.0","39.1%","±16.0","63.6%","±6.9"
"    45 to 54 years","11.4%","±1.7","15.6%","±3.4","12.3%","±10.9","7.5%","±3.3"
"    55 to 59 years","6.6%","±1.4","8.3%","±2.6","15.2%","±9.4","5.5%","±2.3"
"    60 years and over","10.2%","±1.6","14.0%","±3.1","12.1%","±9.3","8.0%","±2.9"
"Median age (years)","32.8","±1.4","39.8","±3.7","35.7","±6.9","31.0","±1.4"
"SEX","","","","","","","",""
"    Male","52.3%","±2.7","54.0%","±4.1","35.7%","±14.1","48.6%","±5.9"
"    Female","47.7%","±2.7","46.0%","±4.1","64.3%","±14.1","51.4%","±5.9"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","75.6%","±2.4","76.0%","±4.4","76.7%","±12.5","73.5%","±5.7"
"        Black or African American","9.3%","±2.0","9.9%","±3.6","8.0%","±7.9","11.3%","±4.1"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"        Asian","10.9%","±2.0","8.9%","±3.3","15.0%","±10.5","10.5%","±4.0"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","N","N","N","N","N","N","N","N"
"    Two or more races","2.4%","±0.8","1.8%","±1.1","0.3%","±0.6","2.3%","±1.6"
"Hispanic or Latino origin (of any race)","5.3%","±1.5","5.5%","±3.0","0.0%","±7.2","5.5%","±4.5"
"White alone, not Hispanic or Latino","72.2%","±2.5","72.3%","±4.5","76.7%","±12.5","70.9%","±5.9"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","77.1%","±3.1","79.1%","±4.5","74.9%","±11.5","80.4%","±4.2"
"    Foreign born","22.9%","±3.1","20.9%","±4.5","25.1%","±11.5","19.6%","±4.2"
"        Naturalized U.S. citizen","9.1%","±1.7","10.7%","±3.1","13.6%","±9.7","9.0%","±3.0"
"        Not a U.S. citizen","13.8%","±2.6","10.1%","±3.6","11.4%","±9.8","10.6%","±3.4"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","26.9%","±3.1","25.1%","±4.6","19.3%","±10.3","27.3%","±5.8"
"        Speak English ""very well""","21.8%","±3.1","21.2%","±4.3","15.7%","±9.4","20.1%","±5.4"
"        Speak English less than ""very well""","5.2%","±1.5","4.0%","±2.1","3.5%","±4.3","7.2%","±3.0"
"EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","59,968","±2,740","18,577","±2,002","2,097","±596","14,684","±1,630"
"    $1 to $9,999 or loss","17.3%","±2.7","11.5%","±3.7","22.1%","±15.2","10.2%","±3.7"
"    $10,000 to $14,999","4.9%","±1.2","4.9%","±2.2","0.0%","±7.2","5.3%","±2.4"
"    $15,000 to $24,999","9.3%","±1.8","6.7%","±2.5","3.0%","±3.6","12.5%","±4.9"
"    $25,000 to $34,999","11.2%","±2.3","9.7%","±3.4","10.1%","±10.9","9.2%","±3.4"
"    $35,000 to $49,999","14.3%","±2.0","13.4%","±3.4","16.7%","±12.5","19.2%","±4.7"
"    $50,000 to $64,999","11.3%","±2.0","11.2%","±3.1","15.3%","±9.0","11.5%","±3.6"
"    $65,000 to $74,999","6.2%","±1.3","9.3%","±3.1","8.2%","±6.2","4.8%","±2.2"
"    $75,000 or more","25.5%","±2.3","33.2%","±4.5","24.6%","±11.5","27.3%","±4.9"
"Median earnings (dollars)","41,340","±2,009","52,081","±5,095","46,702","±15,562","42,605","±5,867"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","52,491","±3,095","17,924","±1,897","1,821","±583","13,893","±1,706"
"    Below 100 percent of the poverty level","7.0%","±2.1","5.3%","±3.0","7.9%","±12.7","7.2%","±3.2"
"    100 to 149 percent of the poverty level","3.9%","±1.3","3.7%","±2.0","0.0%","±8.3","2.7%","±2.1"
"    At or above 150 percent of the poverty level","89.2%","±2.3","91.0%","±3.5","92.1%","±12.7","90.1%","±3.4"
"Workers 16 years and over","59,968","±2,740","18,577","±2,002","2,097","±596","14,684","±1,630"
"OCCUPATION","","","","","","","",""
"    Management, business, science, and arts occupations","69.9%","±3.0","68.2%","±4.8","56.0%","±16.1","75.4%","±5.7"
"    Service occupations","10.2%","±1.8","8.8%","±2.9","4.9%","±5.9","10.1%","±4.0"
"    Sales and office occupations","15.0%","±2.3","16.8%","±3.7","31.5%","±15.6","12.0%","±4.6"
"    Natural resources, construction, and maintenance occupations","1.8%","±0.9","2.0%","±2.3","2.2%","±3.6","0.0%","±1.1"
"    Production, transportation, and material moving occupations","3.1%","±1.0","4.2%","±1.6","5.3%","±6.5","2.5%","±1.9"
"    Military specific occupations","0.0%","±0.3","0.0%","±0.8","0.0%","±7.2","0.0%","±1.1"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","0.0%","±0.1","0.2%","±0.3","0.0%","±7.2","0.0%","±1.1"
"    Construction","1.0%","±0.6","2.4%","±1.7","0.0%","±7.2","0.0%","±1.1"
"    Manufacturing","5.8%","±1.3","8.7%","±3.4","8.2%","±7.1","3.0%","±2.9"
"    Wholesale trade","0.7%","±0.4","0.8%","±0.8","2.0%","±3.3","0.4%","±0.5"
"    Retail trade","5.8%","±1.4","7.2%","±2.2","7.4%","±11.1","2.5%","±1.7"
"    Transportation and warehousing, and utilities","2.0%","±0.8","1.9%","±1.0","0.0%","±7.2","2.3%","±1.8"
"    Information and finance and insurance, and real estate and rental and leasing","8.6%","±1.7","9.9%","±3.8","11.7%","±11.3","12.9%","±4.2"
"    Professional, scientific, management, and administrative and waste management services","17.0%","±1.6","13.7%","±2.9","16.0%","±8.4","26.1%","±4.4"
