"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","59,074","±2,792","18,278","±1,977","2,337","±777","16,367","±1,800"
"AGE","","","","","","","",""
"    16 to 19 years","3.9%","±1.2","2.9%","±1.6","5.1%","±5.9","0.9%","±0.9"
"    20 to 24 years","16.5%","±2.4","11.9%","±3.6","13.6%","±10.0","14.6%","±4.5"
"    25 to 44 years","52.5%","±3.3","49.8%","±5.6","43.7%","±17.1","62.2%","±5.2"
"    45 to 54 years","12.0%","±2.1","16.5%","±3.9","22.1%","±16.6","9.5%","±2.8"
"    55 to 59 years","6.3%","±1.4","8.2%","±2.7","5.5%","±7.1","5.7%","±2.8"
"    60 years and over","8.8%","±1.9","10.7%","±3.1","9.9%","±12.4","7.0%","±2.4"
"Median age (years)","33.4","±1.2","37.0","±2.9","40.9","±9.9","33.3","±1.4"
"SEX","","","","","","","",""
"    Male","48.3%","±2.3","47.7%","±5.0","41.3%","±14.3","44.6%","±5.2"
"    Female","51.7%","±2.3","52.3%","±5.0","58.7%","±14.3","55.4%","±5.2"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","68.9%","±3.2","70.1%","±5.5","46.6%","±15.2","67.7%","±5.8"
"        Black or African American","10.4%","±2.9","13.0%","±4.5","21.5%","±16.3","12.4%","±5.2"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"        Asian","14.0%","±2.8","10.6%","±4.3","24.6%","±14.8","13.5%","±4.1"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","2.3%","±1.2","2.1%","±1.8","0.0%","±7.0","3.4%","±2.4"
"    Two or more races","4.0%","±1.3","3.2%","±2.0","7.2%","±7.6","2.9%","±2.4"
"Hispanic or Latino origin (of any race)","8.0%","±2.0","7.0%","±2.8","4.5%","±5.5","7.0%","±3.3"
"White alone, not Hispanic or Latino","64.2%","±3.3","67.1%","±5.2","42.1%","±15.3","63.7%","±5.6"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","70.4%","±3.1","75.8%","±4.8","46.5%","±15.3","68.4%","±5.9"
"    Foreign born","29.6%","±3.1","24.2%","±4.8","53.5%","±15.3","31.6%","±5.9"
"        Naturalized U.S. citizen","13.7%","±2.2","12.4%","±3.6","33.6%","±17.5","11.6%","±4.5"
"        Not a U.S. citizen","15.9%","±2.5","11.7%","±4.1","19.9%","±10.8","20.0%","±4.5"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","30.2%","±3.2","24.8%","±4.8","55.9%","±15.4","30.6%","±6.0"
"        Speak English ""very well""","23.0%","±2.6","18.4%","±4.4","34.1%","±16.8","21.6%","±5.1"
"        Speak English less than ""very well""","7.2%","±1.8","6.4%","±2.6","21.8%","±16.2","9.0%","±4.2"
"EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","59,074","±2,792","18,278","±1,977","2,337","±777","16,367","±1,800"
"        $1 to $9,999 or loss","15.8%","±2.3","10.4%","±2.9","16.7%","±10.3","7.6%","±2.6"
"        $10,000 to $14,999","4.7%","±1.3","4.7%","±1.9","5.0%","±8.5","4.5%","±2.1"
"        $15,000 to $24,999","10.2%","±2.1","8.6%","±3.3","16.5%","±14.8","13.8%","±4.5"
"        $25,000 to $34,999","11.4%","±1.9","8.3%","±3.5","5.7%","±6.0","10.9%","±3.9"
"        $35,000 to $49,999","12.4%","±1.8","15.6%","±3.6","13.1%","±13.3","13.1%","±3.3"
"        $50,000 to $64,999","12.2%","±1.8","13.4%","±3.6","5.0%","±4.9","15.3%","±3.8"
"        $65,000 to $74,999","5.4%","±1.1","6.4%","±2.0","1.7%","±2.8","6.1%","±2.3"
"        $75,000 or more","27.8%","±2.9","32.6%","±5.3","36.2%","±14.1","28.7%","±4.8"
"Median earnings (dollars)","44,512","±4,657","52,045","±6,463","47,713","±20,520","50,033","±6,889"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","51,550","±2,788","17,728","±1,924","1,970","±736","16,108","±1,792"
"        Below 100 percent of the poverty level","5.5%","±1.7","4.1%","±3.1","0.0%","±8.3","6.0%","±2.2"
"        100 to 149 percent of the poverty level","3.4%","±1.1","4.2%","±2.2","0.0%","±8.3","3.6%","±1.9"
"        At or above 150 percent of the poverty level","91.1%","±2.2","91.8%","±3.8","100.0%","±8.3","90.5%","±3.0"
"Workers 16 years and over","59,074","±2,792","18,278","±1,977","2,337","±777","16,367","±1,800"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","69.9%","±3.3","63.4%","±5.8","54.8%","±17.2","75.2%","±5.4"
"        Service occupations","10.3%","±2.0","12.1%","±4.1","20.6%","±15.4","10.7%","±4.5"
"        Sales and office occupations","15.5%","±2.2","16.5%","±3.9","12.7%","±8.9","12.9%","±4.6"
