"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","71,308","±3,096","18,961","±2,665","3,131","±1,014","20,749","±2,543"
"    AGE","","","","","","","",""
"        16 to 19 years","3.6%","±1.8","0.9%","±0.8","3.1%","±4.0","1.4%","±1.5"
"        20 to 24 years","15.3%","±3.3","11.8%","±5.8","11.5%","±8.8","14.7%","±6.3"
"        25 to 44 years","55.7%","±3.5","48.3%","±6.0","39.9%","±17.0","68.3%","±6.9"
"        45 to 54 years","11.5%","±1.6","18.5%","±3.8","11.4%","±6.8","8.5%","±3.3"
"        55 to 59 years","5.6%","±1.7","7.7%","±4.6","9.7%","±10.3","3.9%","±2.1"
"        60 years and over","8.3%","±1.3","12.8%","±3.1","24.5%","±13.3","3.3%","±1.6"
"        Median age (years)","32.8","±1.3","40.7","±3.0","44.5","±8.4","30.8","±1.9"
"    SEX","","","","","","","",""
"        Male","50.7%","±2.6","42.1%","±5.0","44.6%","±11.2","51.4%","±5.8"
"        Female","49.3%","±2.6","57.9%","±5.0","55.4%","±11.2","48.6%","±5.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N"
"            White","66.6%","±3.7","60.9%","±7.8","69.4%","±15.2","63.1%","±7.0"
"            Black or African American","9.2%","±2.3","16.5%","±7.4","9.2%","±10.3","9.1%","±5.1"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"            Asian","17.8%","±2.6","15.5%","±4.6","19.7%","±11.8","20.8%","±5.0"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"            Some other race","N","N","N","N","N","N","N","N"
"        Two or more races","3.3%","±0.9","3.4%","±1.7","1.6%","±2.6","3.9%","±1.8"
"        Hispanic or Latino origin (of any race)","8.1%","±2.2","8.8%","±4.2","2.6%","±5.5","6.1%","±2.6"
"        White alone, not Hispanic or Latino","62.4%","±3.7","57.4%","±7.9","69.4%","±15.2","60.8%","±7.0"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","72.1%","±3.5","69.3%","±8.3","68.3%","±15.1","73.1%","±5.3"
"        Foreign born","27.9%","±3.5","30.7%","±8.3","31.7%","±15.1","26.9%","±5.3"
"            Naturalized U.S. citizen","12.7%","±2.7","20.6%","±8.2","17.9%","±10.4","12.4%","±3.4"
"            Not a U.S. citizen","15.2%","±2.4","10.1%","±3.6","13.8%","±12.9","14.5%","±3.9"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","32.3%","±3.9","32.7%","±8.6","27.1%","±13.7","30.0%","±5.8"
"            Speak English ""very well""","27.6%","±3.5","28.0%","±8.4","27.1%","±13.7","24.1%","±5.2"
"            Speak English less than ""very well""","4.7%","±1.3","4.7%","±2.6","0.0%","±6.0","5.9%","±2.8"
"EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","71,266","±3,092","18,961","±2,665","3,131","±1,014","20,707","±2,537"
"        $1 to $9,999 or loss","10.6%","±2.1","6.3%","±2.8","12.2%","±8.5","6.3%","±3.3"
"        $10,000 to $14,999","2.7%","±0.9","2.5%","±1.4","0.0%","±6.0","1.6%","±1.7"
"        $15,000 to $24,999","6.4%","±2.2","8.0%","±5.0","1.5%","±2.4","6.0%","±2.8"
"        $25,000 to $34,999","6.5%","±1.7","4.7%","±2.5","11.6%","±11.3","5.1%","±2.7"
"        $35,000 to $49,999","13.0%","±2.0","12.9%","±4.8","11.7%","±9.4","11.3%","±4.2"
"        $50,000 to $64,999","13.2%","±2.5","13.6%","±5.8","1.2%","±2.0","19.9%","±5.4"
"        $65,000 to $74,999","5.5%","±1.2","6.6%","±2.5","2.8%","±3.3","7.0%","±2.4"
"        $75,000 or more","42.0%","±3.1","45.3%","±6.0","59.1%","±14.2","42.8%","±6.3"
"        Median earnings (dollars)","61,229","±3,368","66,257","±6,933","90,268","±27,092","63,735","±7,406"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","64,013","±3,323","18,549","±2,710","2,691","±914","20,127","±2,501"
"        Below 100 percent of the poverty level","3.6%","±1.3","1.5%","±1.3","4.0%","±6.6","3.8%","±3.0"
"        100 to 149 percent of the poverty level","2.0%","±1.1","2.5%","±2.4","2.9%","±3.6","1.8%","±1.2"
"        At or above 150 percent of the poverty level","94.4%","±1.7","95.9%","±3.0","93.1%","±7.3","94.4%","±3.2"
"Workers 16 years and over","71,308","±3,096","18,961","±2,665","3,131","±1,014","20,749","±2,543"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","75.0%","±3.5","67.8%","±7.1","79.0%","±12.3","78.7%","±4.9"
"        Service occupations","8.2%","±1.9","12.8%","±5.2","1.5%","±2.8","6.1%","±3.1"
"        Sales and office occupations","12.0%","±2.0","11.6%","±3.6","14.2%","±11.1","13.7%","±3.1"
"        Natural resources, construction, and maintenance occupations","1.9%","±1.6","1.3%","±1.2","5.3%","±5.3","0.6%","±1.0"
"        Production, transportation, and material moving occupations","3.0%","±1.0","6.4%","±3.1","0.0%","±6.0","1.0%","±1.0"
"        Military specific occupations","0.0%","±0.3","0.0%","±1.0","0.0%","±6.0","0.0%","±0.9"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","0.0%","±0.1","0.0%","±1.0","0.0%","±6.0","0.0%","±0.9"
"        Construction","1.0%","±0.5","1.6%","±1.3","3.3%","±4.8","0.2%","±0.3"
"        Manufacturing","5.4%","±1.2","8.0%","±2.5","6.0%","±6.9","4.0%","±1.6"
"        Wholesale trade","0.4%","±0.3","1.3%","±1.0","0.0%","±6.0","0.3%","±0.3"
"        Retail trade","6.3%","±1.5","7.0%","±3.5","0.8%","±1.4","7.4%","±2.9"
"        Transportation and warehousing, and utilities","2.8%","±0.9","5.6%","±2.4","7.8%","±9.5","0.9%","±0.9"
"        Information and finance and insurance, and real estate and rental and leasing","10.9%","±1.6","12.3%","±3.7","4.9%","±6.1","11.5%","±3.6"
"        Professional, scientific, management, and administrative and waste management services","23.9%","±2.6","19.1%","±4.7","21.0%","±11.2","33.1%","±5.6"
"        Educational services, and health care and social assistance","38.2%","±2.7","35.3%","±5.6","36.1%","±13.9","31.1%","±5.5"
"        Arts, entertainment, and recreation, and accommodation and food services","4.4%","±1.2","4.1%","±2.0","8.4%","±6.7","2.6%","±2.1"
"        Other services (except public administration)","4.3%","±1.4","3.1%","±1.8","9.4%","±9.8","4.6%","±2.3"
"        Public administration","2.4%","±0.9","2.4%","±1.4","2.3%","±2.8","4.2%","±2.3"
"        Armed forces","0.0%","±0.1","0.1%","±0.2","0.0%","±6.0","0.0%","±0.9"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","86.6%","±2.1","87.6%","±3.3","80.4%","±12.9","86.7%","±4.2"
